height,weight,years,country
,,38.2275684463,USA
72.0,170.0,39.6467465285,USA
70.0,210.0,47.39743146,USA
,,,USA
75.0,200.0,42.6714040628,USA
71.0,168.0,44.5782533778,IRL
71.0,,28.7864725559,CAN
72.0,,,
74.0,185.0,28.9207191313,USA
,,21.7371574874,NZL
72.0,168.0,38.3727739258,NIR
72.0,200.0,40.5042807751,USA
73.0,180.0,27.8741437888,USA
,,,USA
67.0,180.0,31.1782533779,USA
,,26.1864725559,AUS
71.0,170.0,,USA
71.0,190.0,35.1727739258,USA
70.0,175.0,45.0029109121,USA
74.0,175.0,26.6001711861,USA
72.0,175.0,33.3755136518,USA
,,,USA
,,,USA
72.0,165.0,30.5535958436,USA
70.0,154.0,32.2029109121,ENG
,,,ENG
69.0,150.0,22.2768835149,USA
,,,ENG
,,,USA
73.0,175.0,42.0193492683,ENG
71.0,155.0,38.0248287203,USA
,,46.9152396792,USA
,,,
73.0,,,CHN
68.0,,36.4029109121,CHN
,,,CHN
,,,USA
,,,USA
,,,USA
72.0,190.0,27.0988013231,USA
,,26.6768835149,NLD
76.0,200.0,30.0851026929,USA
70.0,170.0,35.0522259806,USA
70.0,155.0,,USA
73.0,185.0,34.8659246108,USA
74.0,225.0,30.0686643368,USA
,,,
,,,
,,,USA
70.0,170.0,25.1097602272,KOR
67.0,155.0,35.0823629669,JPN
,,25.2330478984,USA
,,,JPN
73.0,183.0,37.5289383094,FIN
68.0,150.0,40.693321871,JPN
64.0,,24.7289383094,JPN
69.0,178.0,37.5344177614,ZAF
71.0,175.0,32.7152396793,USA
,,,USA
73.0,,26.8467465286,MYS
69.0,155.0,25.7727739258,JPN
73.0,,44.3535958436,MYS
72.0,160.0,36.4056506382,JPN
74.0,215.0,,USA
73.0,178.0,42.7590752957,SWE
71.0,163.0,43.1453766656,FRA
,,,USA
67.0,138.0,47.6440068026,THA
,,,USA
68.0,143.0,21.5782533779,THA
71.0,150.0,28.6768835149,KOR
,,29.2522259806,KOR
70.0,,,USA
72.0,175.0,,USA
69.0,182.0,41.5946917341,AUS
75.0,165.0,,USA
74.0,,33.0494862546,DNK
,,,PAK
,,,
70.0,162.0,,ESP
,,19.0577054327,CHN
71.0,180.0,,USA
,,,USA
76.0,190.0,33.0138698163,USA
72.0,200.0,50.186472556,USA
,,,USA
,,,USA
67.0,145.0,40.7042807752,SWE
74.0,180.0,35.8577054327,USA
71.0,160.0,41.3453766656,USA
69.0,211.0,28.3508561176,ENG
,,,USA
68.0,150.0,50.4796232409,USA
70.0,,23.9453766656,USA
72.0,170.0,37.1919520081,AUS
,,,AUS
,,,USA
,,,CAN
,,32.2220889944,USA
72.0,190.0,,USA
72.0,170.0,35.3700341998,FIN
